word,recording,time (s),context
Get,salon-087,6110,aily nor diary but it allows me to Get off. The whatever is in my he
Get,salon-087,6426,ry nice meeting them. Delighted to Get to know them better. I saw th
Get,salon-101,2,"And then we will, Get going. So the first artist th"
Getting,roundtable-006,3047, personal goal of mine in terms of Getting people together and seeing wh
Getting,salon-087,3560,"n, actually, I was Part of sort of Getting the ball rolling on it. I had"
Getting,salon-093,5173,u're going into this space and and Getting transported. And so thank you
Getting,salon-107,1506," interesting to kind of talk about Getting here, because it all was a bi"
Going,salon-078,4841,really interesting statement about Going from physical to the web 3 sp
Going,salon-083,101," st and I have all that history of Going to school and photography, an"
Going,salon-094,1174,"s of the you know. That is kind of Going on in the war right now, as t"
Going,salon-107,1506,"f someone's computer just kind of, Going bonkers on them and showing a"
Part,salon-079,2137,hape and the texture of it. It's a Part 2 of the for B pencil stroke 
Part,salon-087,3560,"t this exhibition, actually, I was Part of sort of Getting the ball r"
Part,salon-087,6211,ve come. I've been fortunate to be Part of these since number 3. So i
Part,salon-102,6447,"ip between those two, if there's a Part of chance that emerges, and t"
Something,roundtable-006,859,"w, the automatic gesture came from Something that was, you know, sublimina"
Something,salon-078,3492,cture To kind of create a sense of Something old and something new. This w
Something,salon-083,2984,"s, and he talks about all that and Something is covering my screen. I don'"
Something,salon-085,5291,ch other. And so my perspective is Something good can come out of somethin
Still,salon-083,739,"was extremely lucid, you know, and Still continuing to make work. This"
Still,salon-085,3203,I currently am a bit obsessed with Still life of natural or found obje
Still,salon-101,1044," camera. So all my art is based on Still photographs, but sometimes I "
Still,salon-110,3607,"the XR space. And I made a lot of, Still life photography inside world"
Think,salon-079,153,"ents out of the world. In order to Think about what you're seeing, wha"
Think,salon-089,5064,"ina, did you have your hand up, or Think she? I think she left."
Think,salon-089,5174,"e. You know, individual artists to Think about it, you know, and if yo"
Think,salon-105,1887,"hat framework allows… allows me to Think about, like, those tangible f"
About,roundtable-006,1153," you know, I got through okay, and About… 1989 or so, I just said, 198"
About,salon-096,3081,y phone. And the meaning behind is About the connection between all of
About,salon-100,1372,"lay statement from the past about, About, art makes the invisible visi"
Actual,salon-077,4886,reet signs later get replaced with Actual light posts. There's from ove
Actual,salon-085,3979,"ings, once we start working on the Actual designs for these buildings, "
Actual,salon-100,1095, this piece to include some of the Actual elements. I recycled them int
Amazing,roundtable-006,4328,"to catch on, and how… what kind of Amazing international response there "
Amazing,salon-081,3096,"t's really Right now. The group is Amazing. So, thanks, Cynthia, your wo"
Amazing,salon-108,3322,pare for today. And it's just been Amazing how much work. Has gone into 
Artists,interview-028,2002,"teresting. And I think the idea of Artists, poets, creative people using"
Artists,salon-080,1917,"ng for, those kinds of concepts of Artists and collector coming together"
Artists,salon-080,2372,"which is our artist union, and our Artists run centers and other organiz"
Creating,salon-080,1917,"and Phoebe Hess, that combined for Creating a scarf. So you go onto the p"
Creating,salon-083,1140,"d his Contact, who's going out and Creating some kind of mischief. And fi"
Creating,salon-087,3085,"nd everything, all of you put into Creating this space, and I just makes "
Doing,salon-080,854,thing to share about. But as I was Doing this inventory of mine have b
Doing,salon-100,4465," are collaborating, some of us are Doing whatever artists need to do. "
Doing,salon-104,3414,"he convergence, and the embrace of Doing things, discovering new ways "
Everyone,salon-089,1696, human experience. We can tap into Everyone in their lifetime has paused 
Everyone,salon-099,5815,"ting work. I also wonder, because, Everyone here is making pretty persona"
Everyone,salon-101,2260,he theme of the wrong biennial was Everyone must be using some form of AI
Giving,salon-079,3101,"re about the lines. It cares about Giving us the information. Okay, thi"
Giving,salon-080,3681,e legacy they're going to leave by Giving this artwork to their family 
Giving,salon-087,836,so much for presenting the art and Giving me time.
Go,salon-085,1698,"ke advantage of the opportunity to Go to concerts, go to theater, g"
Go,salon-085,2634,oping that Alright doesn't want to Go from one to the other. I don'
Go,salon-090,1015,"ngs in my studio. His comment was, Go light! This led me to work in"
Light,salon-016,1338, used to layering and working from Light to dark and building up layer
Light,salon-074,1432,tones. So shadow has like a lot of Light and dark have a lot to do wit
Light,salon-085,1698,"way to think of the perspective of Light and color. Well, all colors c"
Looking,interview-028,1131,than post human but really kind of Looking at how maybe our growing abil
Looking,salon-077,3147,And that's a a curiosity for me is Looking at artificial life where you 
Looking,salon-082,1997," then finally, in terms of sort of Looking at telling the story, I have "
Making,salon-085,1698,uching people around the world and Making them feel something. I'm not 
Making,salon-088,2460,as there a kind of instruction for Making this based on dreams? I feel 
Making,salon-103,272,"ee whether or not it is capable of Making the point visible. So, I'm go"
Medium,roundtable-001,3,"ifesto, which I first published on Medium in 2014. This text was inspir"
Medium,salon-015,108,nd I wrote a blog post about it on Medium. Where I talk about NFTs and 
Medium,salon-034,128,ing a guy that wrote an article on Medium. Just a guy. Yeah. Not a scie
Most,salon-025,1535,m a Mac. Let me just take over the Most sorry.
Most,salon-081,2458,ause I want in the town. I live in Most of the places don't have equi
Most,salon-110,2,"s that we could work together, and Most recently this spring, I was f"
Put,interview-027,4489,ortunity as far as. The ability to Put work on to the blockchain to 
Put,salon-083,4900,June 20.Th So I'm going to put the Put this here in the. I realize n
Put,salon-085,2142,"Royal, Ireland. And here we have a Put up the broad river. And we we"
Technology,interview-027,4779," raised awareness, you know, about Technology based work, the blockchain an"
Technology,salon-082,3243, previous saloons in in regards to Technology and how we use technology to 
Technology,salon-095,1505,definition was sort of a mashup of Technology and expressionism from the Ox
Thank,interview-014,606,icles have gone so they can try to Thank you.
Thank,presentation-003,1990," be and that was very important to Thank you. That's helpful, not havi"
Thank,salon-056,2225,'m going to have a little bit of a Thank you.
Those,salon-082,3243,some discussions off of camera and Those last couple images. We're int
Those,salon-089,497,"a serpent from that image, because Those were the ways that ancient pe"
Those,salon-095,1505,"se artists who participated in the Those shows, or is it, or is it the"
Thought,interview-028,3318,". My poetry, my research notes, my Thought starter post-its, like all of"
Thought,salon-085,4427,s that I wouldn't necessarily have Thought about myself when I was makin
Thought,salon-090,2906,hinking of time and experience and Thought and and. It got me thinking w
Trying,salon-077,4886,es in that I could. And this is my Trying to track for you on a laptop.
Trying,salon-082,3530,"once in a while. It frees you from Trying to force, you know, force a n"
Trying,salon-102,5245,"ntists I've worked with have been, Trying to hold that line a little bi"
Using,salon-079,1352,"hanged, especially as we come into Using. And I love this. Where's my "
Using,salon-083,3406,the pain with the video format and Using lots of techniques which is v
Using,salon-084,4602,r Renato or Colin. Last time I was Using our lupa and artifact a few y
Way,salon-050,634, I just want to just throw this in Way back on porcelain baked ename
Way,salon-077,3147,"ntation. I I'm fascinated with the Way in which these are created, a"
Way,salon-089,4881,"ly what I need. Okay, so so to the Way in which you're, you're disco"
We're,presentation-002,3207,"one. Yeah, we're just about out of We're I think you have to leave in "
We're,salon-050,3333,his is the this is the this is the We're also experimenting with a lot
We're,salon-077,10610,e says remix and not edit. And and We're not. I didn't think that was 
What's,salon-084,3992," But it does have influences about What's happening in our political, i"
What's,salon-092,4295,es. But what's also interesting is What's presented. I can interpret th
What's,salon-104,2610,"ve you certain kind of energy, but What's wrong with patching with it? "
With,interview-027,4489,signify that it is truly yours and With like. In the traditional art 
With,salon-099,6109,"at's what's going to resonate with With us as this little circle, but"
With,salon-103,4347,"hotoshop in order to continue with With all the, you know, with the a"
Work,salon-081,3541,"hat I do after that is, I start to Work with it in photo editing or l"
Work,salon-088,2949, work that you did as a student or Work that you've done with student
Work,salon-089,497," emojis that involves putting your Work, whether it's still image or "
Your,salon-082,3243, to see How that interplay between Your artistry working with the AI 
Your,salon-088,2200,"Thank you for Your all comments. Yes, Aditya, yo"
Your,salon-110,2398,"erience, and if we can see some of Your current work. SAHur on, right"
Add,salon-097,4466,"ccount in open processing, you can Add your call to to that creation"
Add,salon-106,4290,"We have to forget everything, and Add. Technology, add the generati"
Again,interview-028,378, and was really shaped by a lot of Again. I had a lot of books around 
Again,salon-084,1077,"'m much happier with this, because Again, you have this terrific ambig"
Almost,interview-027,3651,"it's hard to not have it seep into Almost everything that we do, creati"
Almost,salon-080,375,s I've been creating art parts and Almost all the series I've ever crea
Already,salon-081,4974,ion of art. Sometimes that work is Already minted onto a blockchain. So 
Already,salon-104,2926,r and we found the marks that were Already infiltrating… infiltrating ou
Also,salon-083,3406,s up to really what art really was Also as well that feeds into what 
Also,salon-088,725,wise All this night all this might Also become a reality in near futu
Anything,roundtable-006,3770,"day's NFT, for, I think, more than Anything had ever sold by a contempora"
Anything,salon-083,1140," Social commentary or advocacy, or Anything like that. I was doing Revisi"
Are,salon-080,2372,hes on some of the themes that are Are contained within the coin and
Are,salon-084,5323,pective that are usable and at our Are historic and presentable. So 
Back,roundtable-005,2447,"u know a seminal moment for me was Back in 2,005. I ran a a painted s"
Back,salon-031,455, I like to lower the price because Back to the general regard when I 
Bring,interview-003,3275,w on on on all of this and sort of Bring this to a nice what you would
Bring,salon-081,94,"I'm trying to Bring it a bit of joy. And we have,"
Canvas,salon-025,1535,e artworks exist at these sizes on Canvas as well as in this virtual wo
Canvas,salon-104,463,u translate it from the imagery on Canvas or the imagery on paper into 
Change,salon-077,446,"ry page of the book, and you could Change the book. You could Pull it o"
Change,salon-094,4148,"eah, it. I'd I'd have. I'd have to Change their aspect ratio. The aspec"
Combining,salon-079,444,of the the algorithmic mind. So by Combining all of the images over A whol
Combining,salon-085,3203,ome pictures. And then I worked on Combining them with some other layers.
Commercial,salon-088,3741,"at I personally use for my art are Commercial design tools myself, like ill"
Commercial,salon-103,5053,"p. So I do, you know, I do sort of Commercial work, design work and product"
Connect,salon-098,3277,"oyed, creating some pieces using a Connect motion tracking system, which"
Connect,salon-098,3486,"teresting how you incorporated the Connect into the process, for sure. S"
Different,interview-027,2140,"g up with new prompts, mirrors and Different video bars being projected th"
Different,salon-106,3599,"resting, which is, a… a fusion of, Different, genres, things we have… Cons"
Every,salon-097,2575,"are expanding and contracting, and Every with some periodicity, the co"
Every,salon-105,1887,"time. It's so interesting, because Every time, for me, Miss? Would not"
Experiment,salon-087,3786,"Floating around. I'm hoping to Experiment here, since we're using this "
Experiment,salon-097,2575,l 5 500 sketches. Some of them are Experiment. Some of them are more polish
Exploring,salon-087,3786,"here. Really, I love the method of Exploring curatorial process within thi"
Exploring,salon-106,1529,"bient was really, interesting for, Exploring the use of new media. I start"
Focus,salon-079,3101,red from what people said today to Focus a little bit my idea. So I ma
Focus,salon-105,1887,"iced that all of you actually have Focus, and in my experience, many c"
Friends,salon-080,219,I did professional photography for Friends of mine and people that were 
Friends,salon-102,6629,m sure each of you has a circle of Friends and colleagues who work in yo
Generative,interview-027,2832,So that's a little bit of my Generative art as well as body landscape
Generative,salon-083,3406, because I've been seeing a lot of Generative artwork and digital artwork. 
Got,roundtable-005,578,hat was really cool. And I kind of Got into making short videos on i
Got,salon-084,3446,couple of months that I shared and Got a lot of positive feedback. A
Hard,interview-027,1628," painting aspect of it, I think is Hard to deny. So"
Hard,salon-099,3022," the left is a… Crossover between, Hard copy, and then digital genera"
Has,interview-029,178,"cyclopedic way. My, my website is, Has everything in it? My web… Des"
Has,salon-098,3533,"It's a… Homage to a place that is, Has a colonized name, Skinner But"
Here's,salon-016,1338, of turned them into paintings and Here's someone you know using differ
Here's,salon-016,1338,g somewhat naturalistic colors and Here's a soft beginnings the landsca
Idea,salon-080,854, is sort of very interested in the Idea of consumerism as a topic. An
Idea,salon-085,2634, self portrait. Another part of my Idea is physically altering the ca
Ideas,salon-092,3353,ain problem for me is curating the Ideas and the outputs. So I would l
Ideas,salon-106,4562,"cause it will not be recorded, and Ideas for future sessions, which is"
Images,interview-027,2832,s work also was using nfts. So the Images that you're seeing on the shr
Images,salon-085,3203,een starting to build a library of Images that I layer into each other.
Immersive,salon-099,3757,etroit collective. The goal of the Immersive theater project was to teach 
Immersive,salon-105,1887,"ing for your logo, so that you can Immersive experience, and it would be g"
Influenced,salon-083,1140, delight to be. Allow myself to be Influenced by what's going on around me.
Influenced,salon-085,878, City. Famous bird came back to my Influenced by pale mail and icons. And t
Interact,salon-094,781,rcity when we have this ability to Interact in ways that are not based on
Interact,salon-106,1083,"with 40 projectors, where you can, Interact with the fish. The fish are r"
Keep,salon-084,5223," to do it. Then I you know I would Keep that motion open. If Roz you,"
Keep,salon-104,1408,"just couldn't get enough, funds to Keep going as a fine artist. So, h"
Live,salon-027,175," comments. Jeez. Okay. Oh, I had a Live comment that really enjoyed r"
Live,salon-077,446,", and they had a huge warehouse of Live this, and and by the way, the"
Make,salon-080,4655," something that we can all sort of Make happen, or at least move in t"
Make,salon-084,3992, in some Pre online in some way to Make it. So I can share when the v
More,salon-096,3081," from a religious perspective, but More like a spiritual and the rule"
More,salon-110,2,"… Access that, you would click the More button down towards the botto"
Other,salon-082,5500,"e. If you have my email address or Other contact methods are fine, too"
Other,salon-109,5909," out, shoot the shit, come up with Other ideas that, you know, the gro"
Over,salon-095,1505, and lithography becoming. But our Over time is that something you se
Over,salon-109,3882,"ious what your experience has been Over time with what you're doing, "
Painting,salon-088,1789,"Here, we can see that this girl is Painting something in a bloody image. "
Painting,salon-090,2505," Okay, so this is where I had been Painting from 1969, la County has a a "
Practice,salon-079,4533,"rom us? We can support our kind of Practice, and so on. And then, like mo"
Practice,salon-101,2762,"So, in both photography, where my, Practice emerges from, and into painti"
Published,salon-081,4513,"w York Times as an art critic, and Published a monograph of Jackson Polloc"
Published,salon-099,576,"And this project, by the way, was, Published."
Pull,interview-027,958,"we were like sitting in front of a Pull down screen, watching the sli"
Pull,salon-077,446,"u could Change the book. You could Pull it out from the glass, and Ki"
Questions,salon-089,3508,ou know I'll let you guys pick the Questions. I guess if people are going 
Questions,salon-107,1308,"but I'm sure some people will have Questions. So, moving on, we have Mario"
Quite,salon-084,3112,anie. It's great. She's she's been Quite a incredible woman in the wor
Quite,salon-101,973,"r sharing that beautiful work, and Quite an impressive, install as wel"
Screen,roundtable-005,2583,nce with so much like keyboard and Screen time. And it's just sort of p
Screen,salon-096,4704,that can also be supplemented with Screen based work or real that we've
Sign,salon-078,1729,it into sort of art making and and Sign and symbol and meeting making
Sign,salon-078,2058," sort of like, what is the sort of Sign and symbol combination. So th"
Sound,interview-027,2832,"Yeah, that one has a Sound floor, an interactive sound f"
Sound,salon-046,4416, they're doing projections and and Sound throughout throughout the spa
Talk,salon-078,4605,"re native mandarin speakers. I can Talk about actually, that you're r"
Talk,salon-080,2372,ultiple For this talk. I wanted to Talk about some of the themes arou
Talking,salon-077,7657,", and that's what everybody's been Talking about is"
Talking,salon-095,0,use I look back at our pictures of Talking to each other on rotary phone
Their,salon-081,2001,at societators are technologic and Their dome goes all the way down to
Their,salon-097,885,"ls can not only change their their Their their placement in the image,"
Thing,salon-081,4513,t made me kind of realize that the Thing that's important to me about 
Thing,salon-083,3406,"nce I sort of followed and kind of Thing, but it's lots of Very simila"
Thinking,salon-082,1997,"he photograph. The idea of this is Thinking of the word nice, and how you"
Thinking,salon-097,150,"d Using a modern digital media and Thinking of it, I started to experimen"
This,interview-012,1221,rking with a 3D modeler called the This is the most basic 3D modeler 
This,salon-023,3270,pidemic. This is a little bit of a This is again more sculpture.
Through,salon-084,4636,re you know they offer sale of the Through their own commerce platform. 
Through,salon-096,190,looked at the idea of grotesque as Through the prism of Post-feminist wr
Time,salon-008,2874,hat would be based specifically on Time wilted. Based work or centere
Time,salon-079,3927,out it within this sort of idea of Time and our perception of moving 
Type,salon-088,1327," beautiful name, because this is a Type of thing that I can control l"
Type,salon-097,2801," you know, don't have to go in and Type it into the original p. 5. Co"
Use,salon-084,2180,"know, following the artist path to Use these skills like Photoshop i"
Use,salon-092,3577,different languages if you want to Use. Read one and speak the other
Various,salon-083,3406,ng things just to fill screens and Various devices and chasing economies
Various,salon-097,2801,h is a random function starting in Various random corners of each tile. 
Video,salon-092,2614,"m, animate them and turn them into Video."
Video,salon-106,3599,"big reach between documentary and, Video gaming. Would you, care to co"
Wanting,interview-027,2832," are more like country scapes, and Wanting to create like a larger insta"
Wanting,salon-097,150,ut it wasn't enough for what I was Wanting to achieve. And then I found 
Was,salon-084,2180,d her? What was interesting to her Was that it's it's actually an au
Was,salon-090,160,le. But what he was looking at was Was images of what were the image
We,salon-087,2512, drawing kam collage with title is We with the different tools of t
We,salon-105,5235,"low other people to be more in the We… The spiritual energy, the au"
Whatever,salon-094,3606,"t to, you know, defend or harm, or Whatever way you want to look at it in"
Whatever,salon-106,4562,"people can hang out and talk about Whatever, because it will not be recor"
Why,interview-003,2861," gets you in a little trouble, but Why not. So anyway, I'm also whil"
Why,salon-079,4397,"an that. So I'm just curious about Why or where where it came from, "
Worked,salon-077,8437,and Renata and myself have kind of Worked with as well. So does that ki
Worked,salon-098,811," it's… it's… it's a painting with, Worked… I don't know, is it technica"
You're,salon-084,4723,"it a month. Say, like 10 bucks, or You're talking like 30 bucks."
You're,salon-096,3081, also try to make an experience to You're seeing fish in Tvs. And it's 
Absolutely,salon-095,0,"ght be on right now, and hoping to Absolutely raise awareness of our upcomi"
Abstract,salon-082,1997,t to Transforming these ideas into Abstract digital drawings which I use 
Action,salon-082,4481," for him. I mean the thing for his Action for his thinking. Here, I'm a"
Actually,salon-104,2579," up to the wall, and then he would Actually, paint on top of them with ac"
After,salon-110,5026," other major thing that happens is After, like, a couple weeks, we tal"
Afterwards,salon-081,2422,someone else would like to jump in Afterwards. Okay. Alright great. So Cynt
Algorithmic,interview-029,675,"T, things, and they were based on, Algorithmic simulations of flowers and ol"
Allow,interview-027,2140,re you can give prompts that would Allow any person the Desire to move
Analog,interview-028,378,"w, computational, but also kind of Analog algorithmic poetry and experi"
Animated,salon-106,3634,"ing, like, a part of, an anime or, Animated film was, like, this feeling "
Another,salon-097,885,"s. It, it takes the pixel from the Another place in the source image and"
Artistic,salon-102,6629," on equal footing, and the idea of Artistic research on par with scientif"
Artwork,salon-081,3834,"or most of us I think we see it as Artwork first, and it's got the plank"
Associated,salon-087,111,"here's an nft that's linked to the Associated artwork, you'll see that in t"
Audio,roundtable-005,2583,"around with an app. And I just and Audio, and then I sort of Came to a"
Based,salon-109,5138,"lly have in the LA show, that was, Based on the piece I had in Every W"
Beautiful,salon-105,1887,"me right after the, the panel from Beautiful, so… Feel free to join us for"
Become,salon-078,1729,"ttom, right? But also we come from Become a a place where a lot of this"
Been,interview-028,1676, and people who had really kind of Been in that world for a long time
Begin,salon-103,4111,"resent more and more work, it will Begin to find patterns within the p"
Between,salon-090,1776,ed between academic departments or Between artists and art galleries. Wh
Book,salon-106,1529,"ded up being the translator of his Book. Then, I don't know, I've bee"
Books,salon-080,1917,"hing ways in Web 3, so that can be Books. So Tashin put out a book on "
Border,salon-087,5849,theory That's a Give this. He is a Border between magic. There's an une
Both,salon-079,444,pping container? But here you have Both the memory and sort of the th
Break,salon-096,190, time women were trying to sort of Break out of the traditional roles 
Bringing,salon-094,1174,e dynamic into the lobby space and Bringing outside inside. So the the la
Brought,salon-077,4081,ncestors were the ones who were in Brought over forcefully from West Afr
Build,salon-077,3,y fitting. So anyone that wants to Build out something from it the way
Business,salon-077,8383," name by project, or do we name by Business superstructure? Or do we name"
By,salon-087,5849,cable and. Can be explained now by By fire. That's correct. These a
Came,roundtable-005,2583,"just and Audio, and then I sort of Came to an understanding that, lik"
Can,salon-101,3673,"m, so people, from everywhere can, Can, like, see the… Exhibition. S"
Chance,salon-078,2058,"rk in this area, like, there's the Chance operations of data. Then the "
Check,interview-028,4046,"hing that's online that people can Check out, you know, is there sort "
Children,salon-082,111,"the world about not only guns, but Children that are born with disabiliti"
Close,salon-109,537,"'s high school, so he was about as Close as possible as you could ever"
Clouds,presentation-005,1285,e next film that I'm working on is Clouds. It's almost completed for a 
Collaborating,salon-088,2779, them. What were the challenges of Collaborating on a piece together or pieces
Collage,salon-101,2762,"ot of time and live. And, this is, Collage that I generated from a seque"
Collection,salon-083,1713,am going to share with you today a Collection that I created On behalf of m
Colors,salon-107,1506,"d re… you know, assigning color to Colors against other colors. Things "
Comes,interview-027,4022,"ost of my, you know. 2D work is is Comes about. And that was definitel"
Coming,salon-109,178,"lso the invisible violence that is Coming from the outside world, which"
Compared,salon-081,1334," the result is, the 2 pictures are Compared and laid together. What's whi"
Completed,salon-098,3533,"os from the installation, that was Completed, we don't have signage up yet"
Connecting,salon-105,1887,e you always been passionate about Connecting people and finding that conne
Consider,salon-082,5222,"l. I think that's something we can Consider, you know. If that's somethin"
Contact,salon-083,1140,"mewhere On the right side, and his Contact, who's going out and Creating"
Content,salon-084,1747,"ke this. I'm so not thinking about Content at all, I I figure out my bru"
Continue,salon-084,2180,"f towards, you know, being able to Continue doing the things that we love"
Continued,salon-094,781,"tween artists work that allows for Continued growth in each, you know, in "
Corner,salon-083,4869,terview process happens within the Corner of the metaverse. I don't kno
Course,salon-080,2940,Alright. Let me just get my Course I can't find it now
Creativity,salon-085,518,th all my wizardry and digital and Creativity and ideas. How can I? How can
Culture,salon-106,4584,"es, and, also, you know, brings in Culture to us here in the States, whe"
Current,salon-098,2034,"nking, well, a lot of my work, my, Current work involves, painting and d"
Dealing,salon-085,2142,her religious perspective. We have Dealing with hair. We have a dreadloc
Decades,salon-082,1997,"een like that since, you know, for Decades. And then they rescinded it, "
Deep,salon-087,3963," or a deep aquatic environment, or Deep forest, or or there were othe"
Details,salon-096,3081,of Earthly Delights because of the Details and the depth. And unfortunat
Developing,salon-105,1887," yes, my practice has changed from Developing by searching on Google has st"
Didn't,salon-104,4552,"h early coders in the mid-70s, and Didn't turn it… didn't do it, becaus"
Difference,interview-029,881,"an interesting… you know, kind of, Difference between a lot of the screen-b"
Direction,salon-094,781,"ctices, really. So yeah, that's my Direction as a curator and my 5 min spi"
Discuss,interview-027,1751,"w, body of work that you'd like to Discuss in particular."
Discussions,salon-081,4731,"e in them. They don't want to have Discussions, turn into arguments in the m"
Diverse,roundtable-005,340," and collaborating, blending their Diverse cultural perspectives with te"
Does,interview-029,3945,"ike, glitch it. It goes crazy, and Does weird things, so when I glitc"
Double,salon-093,3625,"kthrough, I mean, the ceilings are Double triple the size of the 22 foo"
Draw,salon-105,5235,ding Gamma Time. You'll be able to Draw with your brain with 3 other 
Drop,salon-084,2777,ted experimenting with the idea of Drop shipping prints. So there's T
Earlier,interview-029,234,"ut, work of mine that starts, with Earlier… things. From, not the 90s? O"
Either,salon-101,2260,"e anonymously submitted stories of Either miracles they experienced, or"
Elements,salon-079,3927," is, I think, looking for those as Elements to to to grab onto, you know "
Emotion,interview-028,3637, is bound up with that question of Emotion. I think.
Encourage,salon-095,0,"kistan, so can we take a moment to Encourage people to take note of that s"
Encouraged,roundtable-005,1388,", experimentation that was kind of Encouraged by my parents, who were both "
End,salon-077,4022,h that you spoke of in the in your End product that you wanted to ex
Enter,salon-084,620,"ll one that's cut up. And if I can Enter full screen here, I think you"
Environment,salon-052,4017,"What is it? Energy and Environment, because those are the key fe"
Especially,salon-104,4757,"t's extremely frustrating, because Especially when you're dealing with big "
Events,salon-089,1696,ut that because her project was on Events and the tube worms and the li
Eventually,salon-016,1338,and the richness that you want and Eventually I started getting more abstra
Everybody,interview-028,1358,"ard. You know, 2030 years now, and Everybody has this device in their pock"
Everything,salon-108,3808,", we'll be able to do catalogs for Everything that we do."
Exactly,interview-003,3091,ought conceptual is part of it and Exactly.
Exhibit,salon-087,6036,And I hope to be able to Exhibit more with you. Thanks very mu
Experience,salon-095,0,oup or previous. I mean what I had Experience previous to expressionism. As
Experimentation,salon-096,3081,"s a big part of it, and this is my Experimentation with reflecting sea ocean in "
Explanation,salon-089,497,nderful. The 1st page gives you an Explanation of why we called it the inter
Extremely,salon-093,3584,ng part of this project. It's been Extremely exciting. And the Curator and
Face,salon-069,4714,"my brother, Grady. His nickname is Face. And I took this photo of Gra"
Feel,salon-087,1683,so this one I call balance because Feel like I struck the right balan
Feels,salon-109,2371,"I feel like is very painterly and, Feels like a drawing to me in a lot"
Few,salon-098,3019,"taff, They're, they're one of the, Few, night… night cities across t"
Figure,salon-079,2137,inity. Breaststroke is a series of Figure 8. Over and over and over aga
Find,salon-107,1506," from there, I started to kind of, Find ways to apply it, and kind of"
Flowers,interview-029,675," AI to produce. So, this return to Flowers, organic forms that mutate an"
Follow,salon-101,1388,"rprised, and I find new trails to, Follow and see where some of this wo"
Fractals,interview-014,1217,bout the replications of things in Fractals and keep coming around and go
Front,salon-108,3644,"ssentially, you know, taken on and Front the money for it, as Colin ha"
Full,salon-080,2372," and is no more, I believe, is the Full quote. So my work deals with "
Gone,salon-090,1776,"e end of the day, when people were Gone, I really played around with "
Graphic,salon-097,150,"f it, I started to experiment with Graphic art and then with AI. So this"
Great,salon-108,3644,"for the 50 catalogs, that would be Great."
Group,salon-107,5576,"rd to guide the development of the Group, and I was like. Not having a"
Grow,salon-096,4704,", and just like using the group to Grow them out. So yeah, definitely"
Growing,interview-028,1027,"an definitely relate, you know, to Growing up alongside the personal com"
Hang,salon-100,5682,"f you'd like, who are here now, to Hang out for a little bit afterwar"
Happy,salon-082,4985,e if it gets shipped there. So and Happy to drive stuff to campus myse
Hashtag,salon-095,1505,e other artists that are using the Hashtag that are using these tools an
He's,salon-082,111,"e's not certain of his future, and He's handicapped. I mean, he's not"
Help,salon-108,3053," it was a real honor to be able to Help coordinate the show, to be th"
Helpful,salon-077,5952,"ving a boundary, would probably be Helpful. Also, with regard to the vid"
Helping,roundtable-006,3770,"I like to think of my role as Helping facilitate the salons, encour"
Her,roundtable-006,2750,"tist who uses a camera to make her Her statements, her pictures, not"
Here,interview-026,298," we're going to take a look at the Here, internal and external portra"
His,salon-087,5849,And these are His artwork. Quantum journey is a
Holding,salon-083,1140,"venge! The word I mean the idea of Holding a. You know, a vigorous, dyna"
Hoping,salon-081,3456,"ng paid for. In fact, the venue is Hoping to get a couple of sponsors. "
Hours,salon-101,3977,"yers by AI, and, you know, through Hours of prompting, literally, like"
Human,interview-028,378,ruck by the creative capability of Human and machine collaboration. An
Image,salon-079,1601," with, you know, shapes within the Image. So here we have this Skyscra"
Imagination,interview-028,4182,very fundamental alignment between Imagination and these systems. And and I 
Imagine,salon-085,4224,ally different than what you would Imagine from seeing the final image. 
Incredibly,salon-080,375,"rked for Dave Imas, who was who is Incredibly talented. Cartographer he mak"
Industry,salon-107,5090,"ing on both ends of, like, sort of Industry, and then, you know, working "
Influences,roundtable-005,2583,neurology and other other types of Influences or music. A lot of my video w
Information,salon-079,3927,"in this you know, sort of bunch of Information that we're throwing at it too"
Instead,salon-097,4054,Instead of instead of using the Instead of using using a brush. And t
Institutions,salon-089,3806,there on both the audience and the Institutions.
Interactive,salon-078,2058,"l be that flat image, but also the Interactive file format, and it'll be wra"
Interested,interview-028,3930,"u know, just folks who are kind of Interested in this arena to come togethe"
Into,salon-107,715," as that surface is lofted into a, Into a 3D surface."
Introduce,salon-097,150,for me is the variety that you can Introduce the same idea. The same artwo
Invited,salon-104,1975,"n that the viewer was entitled to, Invited to walk inside the tent, to r"
Involved,salon-096,5295,"n a shared canvas so like that was Involved one artist starting a file, p"
Its,interview-027,480, identified in that way because of Its connection or her connection.
Jump,salon-085,5033,lly did a test print of one of the Jump to our rhapsody images on Vin
Kept,interview-013,1376,es. So I really hit those hard and Kept a pretty decent sketchbook. I
Leave,salon-089,237,"ess, for today people just need to Leave. Their people will be speakin"
Let,salon-101,1290,"s so much. Oh, and I neglected to, Let you guys know in the beginnin"
Literally,interview-027,35," in the pandemic, when artists had Literally no place to put their work be"
Living,interview-027,3651, And it just is. It's an aspect of Living in the 21st century. So like 
Lockdown,interview-027,35,"m that was founded in the times of Lockdown, in the pandemic, when artist"
Look,salon-097,150,ons. Works that evolve forever and Look perfectly without interruptio
Losing,salon-079,444,know just everything connected and Losing track of sort of the ordered 
Machine,salon-097,150," of the 1st works that I made with Machine learning, using my own data s"
Machines,salon-090,1776,hat was back when pins didn't have Machines. I had a little narrow one fo
