word,times,recordings,suggestion,type,example (recording),example context
stanton,1,1,Stanton | Staunton,likely misspelling / mishearing,salon-025,"Right. All right. Well, thank you very much, Stanton. I don't think there's two. Oh. Too many que"
stane,1,1,stand | state | Shane,likely misspelling / mishearing,salon-091,"nd I got introduced to the work of Woody and Stane of Vesulka.  So in 1983, there was this exhi"
staina,1,1,stains | stain | satin,likely misspelling / mishearing,salon-050,"don't know if any of you ever knew Woody and Staina Vasulka, but we they did some amazing custom"
ss,1,1,as | SAs,"check: unusual word, term or non-English",salon-080,"made this film, and primer is called Das das ss, which is like digital art supply something "
squigglies,1,1,squiggles | squiggle's | squiggliest,likely misspelling / mishearing,interview-007, the bean and the circles and all the little squigglies you've got basically noise that goes to infi
spunkneality,1,1,,"check: unusual word, term or non-English",salon-021,"'m not sure if you're too familiar with Zoom spunkneality. But if you're on desktop, which I'm not, I "
springfield,1,1,Springfield,likely misspelling / mishearing,salon-080,"il intensive care unit in at Peace health in Springfield, Oregon. This was also a very much loved job"
spoopy,1,1,spooky | snoopy | spotty,likely misspelling / mishearing,salon-055,"ght before Halloween, and things are getting spoopy in some places. I know we've updated our doo"
spoonflower,1,1,spoon flower | spoon-flower,likely misspelling / mishearing,salon-021,"val. I mean, the big banners were printed by Spoonflower on fabric. I just found out my Makerspace ha"
spock,1,1,Spock | spoke | stock,likely misspelling / mishearing,salon-099,"the unfair immigration laws by teledeporting Spock. Or it could take the form of, like, a locat"
spiritsism,1,1,spiritism,likely misspelling / mishearing,salon-020,", hello, hello, and welcome to our 20th Tech Spiritsism Virtual Salon. Yes, 20. It has been that man"
spinny,1,1,skinny | shinny | spiny,likely misspelling / mishearing,salon-022,"th old school movies. And I saw one of those spinny things go around once. And I was like, yes, "
spikey,1,1,spike | spikes | spiked,likely misspelling / mishearing,salon-055," close by playing you an excerpt from Rock a Spikey, which has been screened in a few places. Bu"
spexler,1,1,speller,likely misspelling / mishearing,salon-031,ial effects so this is a great thanks to and spexler that I joined NETiNOW curation. So we all kn
sperry,1,1,Perry | speedy | sherry,likely misspelling / mishearing,salon-083,olis was the home of control data. Honeywell Sperry ran super computer and univac at a research 
spencer,1,1,Spencer | Spenser | spender,likely misspelling / mishearing,salon-102,"of a collaboration that was generated by the Spencer Museum of Art, their Arts Integrated Researc"
spelter,1,1,shelter | specter | smelter,likely misspelling / mishearing,salon-102,"Bruges Triennial. Her work is represented in Spelter Digital Art Collection and Toma Foundation, "
spelman,1,1,superman,likely misspelling / mishearing,interview-011,d done I had done a sort of a show with lisa spelman at 303 and that was this very kind of very a
speedetological,1,1,,"check: unusual word, term or non-English",salon-107,h easier in terms of moving between software speedetological failure who wants and understanding running 
spectalia,1,1,speculate,"check: unusual word, term or non-English",salon-098,at. The theme this year is that the title is Spectalia and the idea is spectacle and that 100 years
spearhanding,1,1,spearheading | spear handing | spear-handing,likely misspelling / mishearing,salon-008," about that. Roz, would you be interested in spearhanding an interview series of trying to like group "
spaulder,1,1,spader | sparred,likely misspelling / mishearing,salon-037,"e that. I work a lot with a platform that... Spaulder and Carl Aganis introduced me to, and I'd al"
spattler,1,1,spatter | spatular,likely misspelling / mishearing,salon-056,urator. I still try to curate more shows and spattler she curate shows called Mft. Now she do like
spatialness,1,1,,"check: unusual word, term or non-English",salon-023, that and I tried to do that at first is the spatialness of virtual reality just doesn't translate to
spalterdigital,1,1,,"check: unusual word, term or non-English",interview-002,online resource for curators and scholars at spalterdigital.com. Anne's own artworks reside in the perma
spalding,1,1,Spaulding | scalding | spalling,likely misspelling / mishearing,salon-043,"so without further ado, let's start with and Spalding. And then we have Walter who's going to shar"
soyer,1,1,sober | Boyer | foyer,likely misspelling / mishearing,salon-028," top, the figures, I took it in Mallorca, in Soyer, which is a little village in the north. And"
southamptonartscenter,1,1,southamptoxartscenter,likely misspelling / mishearing,salon-042," of the works in this show, you should go to Southamptonartscenter.org.  There's a phone number there. There is"
soundwave,1,1,sound wave | sound-wave,likely misspelling / mishearing,salon-011,"ver been to SoundCloud or even just typed in Soundwave art, that's what I kind of just took a pictu"
soundsscape,1,1,soundscape,likely misspelling / mishearing,presentation-004,ages of the book. I also created an original soundsscape for each of the 23 second animations.  In 20
souffle,1,1,shuffle | soufflé | scuffle,likely misspelling / mishearing,salon-094,"two minute piece. The piece is called Pastel Souffle, which in English means pastel size. And the"
sorwhel,1,1,,"check: unusual word, term or non-English",salon-080,"that book is still available. Yes, I did nft sorwhel with the roses. I'm not doing that now, but "
soriano,1,1,Soriano | saurian,likely misspelling / mishearing,salon-072," music for this was by my two friends, Karen Soriano and Mitchell Walker.  Ditch and flute as jus"
soren,1,1,Soren | siren | sore,likely misspelling / mishearing,salon-047,"a little bit surrealistic. You know, I said, Soren Kierkegaard as anime style Mecca. I said, ok"
sonya,1,1,Sonya | Sony | Sonia,likely misspelling / mishearing,interview-026,"ry BAMF Center for the Arts, Emily Hartzell, Sonya Allen and I created four images. The images "
sont,1,1,sent | song | wont,"check: unusual word, term or non-English",salon-109,o. After that. My expression like many muito sont sources for COVID so we having Go multicolor
sonrisa,1,1,sunrise | snores,"check: unusual word, term or non-English",salon-110," couple of GLB file of Cha's here, the green sonrisa, which is part of a really large series he's"
sonjin,1,1,Sonja,"check: unusual word, term or non-English",salon-085,"ow, is the principal curator. Also Giovanna, Sonjin, Lee and Oceana Andreas are Co curators. And"
sonification,1,1,signification,likely misspelling / mishearing,salon-029,d. So I did some works. In the field of data sonification or sound visualization. But this one is pure
somnium,1,1,omnium,likely misspelling / mishearing,salon-015,to go from Decentraland to CryptoVoxel or to Somnium.  That is another metaverse actually very po
someme,1,1,Somme | some me | somme,likely misspelling / mishearing,salon-087,there for training purposes. You'll also see someme audience groups for relevant methods of part
somatics,1,1,somatic | soma tics | soma-tics,likely misspelling / mishearing,salon-099," I'm really interested in sort of, like, the somatics of trauma, so the idea was to respond to the"
somalia,1,1,Somalia | Somali | Somalis,likely misspelling / mishearing,salon-106, topics two female diferentes cultures black Somalia versus Stand alone Addressing fantasy ocean 
solomay,1,1,Solomon | solo may | solo-may,"check: unusual word, term or non-English",salon-042,"ee. Yes, Sean Mitt, Stephanie Sydney, Nezrin Solomay, Karen LaFleur, Randy Musischewitz, Janice R"
soliy,1,1,solid | soli,likely misspelling / mishearing,presentation-002,ing photos. This is the local artist Qodirov Soliy and Uzbek artists in one of his paintings wh
soler,1,1,solar | sober | sole,likely misspelling / mishearing,salon-012,"ith a German drum and bass musician in Indra Soler, which, you know, after he released that pie"
soleiman,1,1,Solomon | solemn,"check: unusual word, term or non-English",salon-110,rn Iran called the throne of Solomon. Takhte Soleiman. This project allowed me to connect my artis
solana,1,1,Solano | Solon | solan,likely misspelling / mishearing,salon-031, their education in this will go on Tezos or Solana or one of these other chains. Yeah. Yeah. So
sokha,1,1,Sikh,"check: unusual word, term or non-English",salon-104,idency at the Intelligent Engineering Lab at Sokha University in Tokyo. And lectured for School
softbee,1,1,soft | softball | softly,"check: unusual word, term or non-English",salon-095,Gosh I saw it in the softbee show was so fantastic this animated and but 
sociopolitics,1,1,sociopolitical,likely misspelling / mishearing,salon-095,"burgeoning things just in the, you know, the sociopolitics.  And so I think it is kind of, for those wh"
societators,1,1,,"check: unusual word, term or non-English",salon-081,e. That festival is called sat fest. The sat societators are technologic and their dome goes all the 
soci,1,1,sock | soca | soli,"check: unusual word, term or non-English",salon-097,ly use or imagine them as plans for creating soci rahms or articles or interviews or education
sobisch,1,1,,"check: unusual word, term or non-English",salon-032,"ys, I did this with a friend of mine, Dagmar Sobisch, in a very productive x ray session. And x r"
sobel's,1,1,sobers | sober's | sole's,"check: unusual word, term or non-English",interview-026,"awings. And to quote Christina Albu, Just as Sobel's video performances involve a gestural dialog"
snowhole,1,1,snow hole | snow-hole,likely misspelling / mishearing,salon-055,"y Wilkinson, MD, Title compliance advisor at Snowhole eensafflesobics.com Corey Wilkinson, MD, Tit"
snowden,1,1,Snowden | snowed | snowmen,likely misspelling / mishearing,salon-011,"ith. The fact that I was working with Edward Snowden and Google, you know, creating new algorithm"
smoothaden,1,1,smoothened,likely misspelling / mishearing,salon-101,st super smart fast smooth smooth struggling smoothaden smooth çek alternatives soft0822 article bal
smashme,1,1,smash | smash me | smalltime,likely misspelling / mishearing,salon-105,"ust play this real quick.  Yeah, and that is SmashMe says, we will be demoing the game right afte"
slrs,1,1,sirs | slurs | strs,"check: unusual word, term or non-English",salon-023, slow shutter in manual cameras. I'm sure in SLRs. This is an app that you have on your phone.
slowshutter,1,1,slow shutter | slow-shutter,likely misspelling / mishearing,interview-026,"nt she'd done with a ShutterSpeed app called SlowShutter. And I tried it and then I was, it shed ligh"
slovakia,1,1,Slovakia | Slovakian,likely misspelling / mishearing,salon-011,"lready for 10 years, but I'm originally from Slovakia. Gotcha. From... Yep. All right. Well, thank"
slane's,1,1,planes | Shane's | lanes,"check: unusual word, term or non-English",salon-052," to have seen earlier in tandem with Leonard Slane's book, Art and Physics, is Douglas Hofstadter"
slane,1,1,Shane | plane | slate,likely misspelling / mishearing,salon-052, a friend of mine spoke regretfully. Leonard Slane was an old friend of mine. So he passed away
sla,1,1,sea | la | spa,"check: unusual word, term or non-English",interview-010,"lez Torres and they're really heavy. They're SLA 3d printed, a laser lithography, stereo lith"
sl,1,1,so | sly,"check: unusual word, term or non-English",salon-057,"n 2,000 and went back down from Boston on an sl train that like in powers were still smoking"
skywire,1,1,skewer | sky wire | sky-wire,"check: unusual word, term or non-English",salon-030,"? It's digital. Digital. All right. And from Skywire, are you making the sounds as well for the m"
skywalker,1,1,Skywalker | sky walker | sky-walker,likely misspelling / mishearing,salon-067,"ted. And then it can make a really good Luke Skywalker or a really good, you know, Darth Vader doin"
skyscapes,1,1,skycaps,likely misspelling / mishearing,salon-043,leaux that were not on this Earth. So I used skyscapes to put the shapes in. And the colors of the 
skyscape,1,1,skycap | skyscrape,likely misspelling / mishearing,interview-007,"ustrial area. At nighttime, it felt like the skyscape was more like a view of Mordor from Lord of "
skyness,1,1,skins | shyness | slyness,"check: unusual word, term or non-English",salon-087,to the leaves and then kind of evolving into skyness and that's my piece as true thank you thank 
skydance,1,1,sky dance | sky-dance,likely misspelling / mishearing,salon-104,"be an emert who's, so I know Anna Merch from Skydance, that big installation at Denver Airport. An"
skybetter,1,1,sky better | sky-better,likely misspelling / mishearing,salon-099,bodied Intelligent Shared Future with Sydney Skybetter and Melissa Painter. Sydney's a choreographe
skwarik,1,1,square | squared | squares,"check: unusual word, term or non-English",salon-037,"is another piece I did with a guy named Mark Skwarik, in which this was in Bushwick in Brooklyn, "
skrissle-driscoll,1,1,,"check: unusual word, term or non-English",salon-089,"eum of Art education program manager.  Kathy Skrissle-Driscoll, writer, Provincetown Independent Newspaper."
skowhegan,1,1,,"check: unusual word, term or non-English",interview-008, time art department. And then I went to the Skowhegan School one summer and then I was at a place 
skojo's,1,1,shoji's,"check: unusual word, term or non-English",salon-031, see what people would come up with. This is Skojo's piece. Here's Skywater. Michael Pierre Price
skogo,1,1,smog | slog,"check: unusual word, term or non-English",salon-050,ade partly by me and partly by Colin. Here's Skogo in front of the banner that was made. And he
skellybot,1,1,skeloybot,likely misspelling / mishearing,interview-013,s some of them are incredibly subtle so more skellybot stuff more kind of this android photo religi
skelebot,1,1,,"check: unusual word, term or non-English",interview-013,so this is kind of some experiments and more skelebot so is it cool that I'm just kind of going ye
sisyphean,1,1,Sisyphean,likely misspelling / mishearing,salon-092,and I'm trying to draw my own shadow. It's a Sisyphean task. I can't do it. Of course I'm wrestling
sistem,1,1,sister | system,likely misspelling / mishearing,salon-092,lucky spectators of what he presents to us.  Sistem has been a French contemporary digital artis
sioux,1,1,Sioux,likely misspelling / mishearing,salon-045,"Winona, the, you know, they're one of the, a Sioux princess who, you know, through her self int"
singlelogical,1,1,single logical | single-logical,likely misspelling / mishearing,salon-109,s so these never learned such problems every singlelogical aim out search held within emils graduate pr
sineggers,1,1,singers,likely misspelling / mishearing,salon-028,"aphic design, I stumbled into a place called Sineggers, a design studio. It was a studio that did m"
sindi,1,1,Hindi | Sinai | Sandi,likely misspelling / mishearing,salon-028," Mintz, one of our presenters, and Stephanie Sindi, one of the other presenters. And of course,"
simpsons,1,1,Simpsons | simp sons | simp-sons,likely misspelling / mishearing,interview-013,o draw it was donkey kong country book and a simpsons character drawing book and I remember drawin
simona,1,1,Simon | Simone | simony,likely misspelling / mishearing,salon-078,"Shepard Ferry Terry Jeffrey, David Ellis and Simona Black. So we are very welcome to have Seth p"
siltscreen,1,1,silkscreen | silt screen | silt-screen,likely misspelling / mishearing,interview-029,"When he was doing his siltscreen work, he was."
silla,1,1,silly | villa | sills,likely misspelling / mishearing,salon-058,"blic library using this browser called Class Silla, which is a modern day equivalent of Netscap"
silicium,1,1,cilium,"check: unusual word, term or non-English",salon-106,How can the silicium understand the memory of the hand of the cla
silas,1,1,Silas | silos | solas,likely misspelling / mishearing,salon-020,"ually, screaming and space and jumping and a silas is, let me see, let's take, let me get that "
sila,1,1,Lila | silo | sola,"check: unusual word, term or non-English",salon-030,"with it with my background.  So when I was a SILA student, I started working in an advertising"
sigur,1,1,Sigur | Sigurd | saguaro,likely misspelling / mishearing,salon-020,"l Park.  The audience is a canvas. And I got Sigur Rós to do the music for the day. At the end,"
sigriff,1,1,Sigrid,"check: unusual word, term or non-English",salon-090,"ie Mitchell and Jen Serleman, Directors, The Sigriff Archo Archives. Thank you very much. Okay, a"
siggraph's,1,1,,"check: unusual word, term or non-English",salon-064," for the end. Okay, great. Thanks, Cynthia.  SIGGRAPH's a wonderful organization. So, yeah, good ann"
siggrap,1,1,Sigrid | signup,"check: unusual word, term or non-English",salon-108,"ust wanted to say, for those who don't know, SIGGRAP special Interest Group on Computer Graphics "
sie,1,1,she | see | is,"check: unusual word, term or non-English",salon-107,t wird wirklich beschrieblich wie hier sehen Sie bis durch Trans immense attempted dieser Fir
sicario's,1,1,scar's | scare's,likely misspelling / mishearing,salon-035,", and yet more alive. The bone handle of the Sicario's knife looked worn and old. He asked if I was"
siberianan,1,1,Siberian | Siberians,likely misspelling / mishearing,salon-076,o but thanks so much tommy and team for this siberianan project it's absolutely amazing and I think 
siberiana-techspressionism,1,1,,"check: unusual word, term or non-English",salon-076,"hael and I, I think all have the password to Siberiana-Techspressionism at gmail.com. But I did send out a bulk emai"
sibelius,1,1,Sibelius | sables,likely misspelling / mishearing,salon-018, of forms to create my music. And then I use Sibelius and other forms of stuff to notate the music
sibachrome,1,1,,"check: unusual word, term or non-English",salon-036,"s and, they, I actually, had printed them on Sibachrome in early nineties.  And, this couple saw tha"
shvenko,1,1,shvenkox,likely misspelling / mishearing,salon-087,"here we go we have chapter three bye Galina, shvenko hi hi I'm here well I'm so thankful to be in"
shungi,1,1,shooing,"check: unusual word, term or non-English",salon-026,ned in the song. The name was Mono Mor Megyo Shungi. It's related with the rain. So our work is 
shumon,1,1,shaman,"check: unusual word, term or non-English",interview-006,f like post-internet art that was curated by Shumon Bashar and Hans Ulrich Obrist for God's sake
shuli,1,1,shall | Shelley | Shelly,"check: unusual word, term or non-English",salon-020,re. People can't say my name. I actually say Shuli like prosciutto because they can't spell it.
sholda,1,1,should | shoulder | shoeda,likely misspelling / mishearing,salon-042,"Thank you, Sholda."
shockbutton,1,1,shock button | shock-button,likely misspelling / mishearing,salon-107,ancestor studio stuff like these ev Fortnite shockbutton sets which were definitely parts of our stud
shockbox,1,1,shock box | shock-box,likely misspelling / mishearing,salon-016,re I recently showed them in a gallery in LA Shockbox where I just was able to project. This is a 
shlane's,1,1,Shane's | shale's | silane's,likely misspelling / mishearing,salon-052, the commentary in this presentation is from shlane's book so I'll make that mention of that. Cynt
shiran,1,1,Sharon | Shiraz | shrine,"check: unusual word, term or non-English",presentation-003,"nd also again thank Shirin Tashova, director Shiran Tashova who got us all together and got us t"
shipiro,1,1,Shapiro | shipper,likely misspelling / mishearing,salon-087,nk in the chat. Here we have Is It by Anne R Shipiro. I'm not sure if Anne's listening. Us today 
shinzo,1,1,Shinzo | Shinto | shins,likely misspelling / mishearing,interview-001,actually was created in 2019 and I called it shinzo because and that's the japanese word for hea
shinnecock,1,1,,"check: unusual word, term or non-English",salon-015," tribe, the Canarsie tribe, the Unkachug and Shinnecock tribes, who people the lands that I take pic"
shimshan,1,1,,"check: unusual word, term or non-English",salon-096," Zaza, but his collaboration with Carrie Ann Shimshan as a close, close collaborator in that codin"
sherbin,1,1,Sherwin | sherwin,likely misspelling / mishearing,salon-061, it's woman life freedom and the music is by sherbin named for freedom which is based on hundreds
shepard,1,1,Shepard | shaped | shaper,likely misspelling / mishearing,salon-078,"s include work with Paul Miller, Dj. Spooky, Shepard Ferry Terry Jeffrey, David Ellis and Simona "
shelley,1,1,Shelley | Shelly | shelled,likely misspelling / mishearing,salon-039,makes me think about some of the things that Shelley is involved in saying. And it's really like 
shazad,1,1,shared | Shazam | shaved,"check: unusual word, term or non-English",salon-020,ise. There was Chris Nappy on percussion and Shazad Ismaili on like a tiny little guitar off in 
shaz,1,1,shall | Chaz | shah,"check: unusual word, term or non-English",salon-030,"ere's like these reality TV shows, you know, Shaz of Sunset and that kind of stuff about peopl"
shayna,1,1,shaman | Shana,"check: unusual word, term or non-English",salon-102," qui remittance Ferzes. Uchmandata. La minim shayna.  So as you can see, the exploration of myth"
shattson,1,1,chats,"check: unusual word, term or non-English",interview-026,hannel while Anders Manson and I were at the Shattson Hotel. We made one-minute simultaneous drawi
sharin,1,1,Sharon | sharing | sharif,likely misspelling / mishearing,salon-100,", thanks so much. And also thanks so much to Sharin and I think for, you know, the kind document"
shara,1,1,share | Sara | sharp,likely misspelling / mishearing,interview-012,"exactly. He, he was the, he probably, he and Shara Davies later on probably did as much to popu"
shantiniketan,1,1,,"check: unusual word, term or non-English",salon-008,ter's degree in textile design from vishwati shantiniketan at west bengal india it is founded by great 
shanken,1,1,shaken | shanked | shanker,likely misspelling / mishearing,salon-106,"nd to whenever I can. Once, for instance, Ed Shanken asked too many people, Spanish speakers who "
shangri-la,1,1,Shangri-La,likely misspelling / mishearing,salon-084,"Understand. I put out all the lights and The Shangri-la Hotel in Singapore, like."
shamberg,1,1,Hamburg | sham berg | sham-berg,likely misspelling / mishearing,interview-024,"ple. Marco Vasi. See Louis Jaffe and Michael Shamberg. They should all get credit. Well, after one"
shakushu,1,1,,"check: unusual word, term or non-English",presentation-009,"panel with a resin top coat, and it's called Shakushu, which means tentacles and Japanese.  And so"
shahnaneh,1,1,,"check: unusual word, term or non-English",salon-046,"the king, the Persian book of the kings, the Shahnaneh, and I think they're really humorous, actual"
shahnameh,1,1,,"check: unusual word, term or non-English",salon-072,"gious symbol.  According to the Iranian epic Shahnameh, the tree had grown from a branch Zoroaster "
shabay,1,1,shabby | Shaba,likely misspelling / mishearing,salon-059,nd a hopeful Yalda to everyone so tonight is Shabay Yalda in Iran so it is all around the world 
sgi,1,1,sig | sci | ski,"check: unusual word, term or non-English",interview-029,"Because Silicon Graphics, SGI, was hooking them up with all these machines"
sg,1,1,sag,likely misspelling / mishearing,salon-108,"nthesizer. And he's doing something with his SG guitar, with scraping this electronic device"
sfu,1,1,sou,"check: unusual word, term or non-English",salon-030,"anada. And when I went to graduate school at SFU in 2009 through 12, I was studying with the "
sexpressionists,1,1,expressionists | expressionist's,likely misspelling / mishearing,presentation-009,I'm thrilled to be here. I got involved with Sexpressionists a few months ago. Delighted to meet everybod
seventy-nineth,1,1,seventy-ninth | seventy-ninety,likely misspelling / mishearing,salon-079,ice to see so many of you here today for our seventy-nineth Techspressionists salon. And the topic today
serp,1,1,derp | sera | sap,"check: unusual word, term or non-English",salon-030,"w, it's definitely in the. The first page of SERP search engine results page. Yes, I'm a nerd."
serotope,1,1,serotype,likely misspelling / mishearing,salon-052,"aid that right, Michael. Using data from the Serotope. Lolo Observatory in Chile. Michael has been"
serleman,1,1,,"check: unusual word, term or non-English",salon-090," of the Pixel, 2021. Bonnie Mitchell and Jen Serleman, Directors, The Sigriff Archo Archives. Than"
sergio,1,1,Sergio | serge,likely misspelling / mishearing,salon-055,called art next level a mentoring group with Sergio Gomez and at some point in the last year he 
serbian,1,1,Serbian | Serbia | Serbians,likely misspelling / mishearing,salon-106,"ée. Remarkable fact, it was exhibited at the Serbian Embassy during the last edition of the Paris"
seraphinist,1,1,,"check: unusual word, term or non-English",salon-009,"tive, like that, that design book, the Codex Seraphinist, that, you know, is a semic, you know, with,"
september's,1,1,September's,likely misspelling / mishearing,salon-008,d then hopefully this works for you. This is September's I work. This is the full minute. And I work 
seprikovic,1,1,,"check: unusual word, term or non-English",salon-108," does sound, but also does visuals, Slavica, Seprikovic. Who, is a technologist, but also does visua"
sephiroth,1,1,,"check: unusual word, term or non-English",interview-011,", little Darwinian famous thing. This is the Sephiroth, the tree of life thing. You know, I just wa"
sepalvida,1,1,,"check: unusual word, term or non-English",interview-026,to participants in the same manner as in the Sepalvida installation and an electroencephalogram was
seondles,1,1,soundless,likely misspelling / mishearing,salon-025, of artists working on the next round of the Seondles that's another pairing and then Michael Poin
senito,1,1,sent | Benito | senate,likely misspelling / mishearing,salon-087,nt to read my description about the yo apply senito yo pink sun and then talk a little about it.
seneca,1,1,Seneca | seance | senecas,likely misspelling / mishearing,roundtable-004, this title aspara astra which is latin from seneca it means rough paths lead to the stars and i
semple,1,1,simple | sample | temple,likely misspelling / mishearing,salon-061,", there's a paint manufacturer called Stuart Semple, or Stuart Stumple out of England. And if yo"
semap,1,1,seam | seams | remap,"check: unusual word, term or non-English",salon-025,"hat's all from me. Hi, my name's Alison with SEMAP. How are you?  Sorry. Co-office space. It's "
selfawareness,1,1,self awareness | self-awareness,likely misspelling / mishearing,presentation-002,e was looking at higher life forms that have selfawareness that they're aware of their existence and th
selena,1,1,Selena | Serena | Elena,likely misspelling / mishearing,salon-098,ut something and then we sing something from Selena and have a great time. These kids were preci
seisang,1,1,seizing | seising,"check: unusual word, term or non-English",salon-100,hich was exhibited in Urgench. Code. The Die Seisang Die Dijingo series is a continuation of a lo
sehen,1,1,seven | seen | sheen,likely misspelling / mishearing,salon-107,lschaft wird wirklich beschrieblich wie hier sehen Sie bis durch Trans immense attempted dieser
segway,1,1,Segway | seaway,likely misspelling / mishearing,salon-053,"saw myself as a changed individual, having a segway from my family to my family. So I'm being th"
seguirismo,1,1,,"check: unusual word, term or non-English",salon-095,"s like harder mask animals like jellyfish or seguirismo after eligible I trust them, I want to work "
segraf,1,1,serge | seraph,"check: unusual word, term or non-English",salon-108,"But I can't. I would say for those going to SEGRAF, there is a panel discussion scheduled about"
sedna's,1,1,Edna's | sedan's | sender's,likely misspelling / mishearing,salon-089,e in Lions Head in Canada. This piece called Sedna's Lament is based on an Inuit tale. It's about
sedgwick,1,1,Sedgwick,likely misspelling / mishearing,salon-020,"from one of Andy's Warhol screen tests, Edie Sedgwick, kind of a production still from a movie, I "
seda,1,1,soda | sea | sera,"check: unusual word, term or non-English",salon-046,"e people from the, we have Marjan, Ghazaleh, Seda Badi, Azra, Azra is that, I think I saw you "
secaucus,1,1,Secaucus,likely misspelling / mishearing,salon-074,erial for the screen. I purchased a place in Secaucus that specializes in it. And we sort of put i
seanmick,1,1,,"check: unusual word, term or non-English",salon-017," want to look me up, you want to pay me, I'm seanmick.eth, which is a little, you know, it makes f"
sd,1,1,sad | Sid | sod,likely misspelling / mishearing,salon-083,"h, this, I think I was making animations for Sd. Water, and doing my own work on the side an"
scybean,1,1,soybean,likely misspelling / mishearing,salon-105,"ic in real time. Performance as cathartic, A Scybean artist and DJ whose sets blur the line betwe"
scungy,1,1,scanty,"check: unusual word, term or non-English",salon-019,e to clean it sometimes. Because it's pretty scungy. And I put it out on the table in the studio
scully,1,1,sully | scaly | sculls,likely misspelling / mishearing,roundtable-002," We're doing rather than I mean, I love Sean Scully. He's playing right next to him, and he does"
scriptals,1,1,scripts | script's,likely misspelling / mishearing,roundtable-002,ng? Shows up and what we're picturing in our scriptals. And it sounds like you really have somethin
screenshare,1,1,screen share | screen-share | screens hare,likely misspelling / mishearing,interview-013,ctually hold on I think we can close out the screenshare for a bit now yeah well yeah that sounds lik
screenbased,1,1,screen-based | screen based,likely misspelling / mishearing,presentation-004,"he computer. And then especially work that's screenbased, like animation for instance, I would consid"
scotland,1,1,Scotland,likely misspelling / mishearing,salon-021,in the center and a fallen down cathedral in Scotland. So this kind of gets you through the 2000s.
schwinitzy,1,1,,"check: unusual word, term or non-English",salon-102,"ry 1. I began tracking the history of Elodia Schwinitzy, or Schweinitzy's waterweed. A plant said to"
schwinitzi,1,1,,"check: unusual word, term or non-English",salon-102,"here's an example here on the left of Elodia Schwinitzi, which is a, a plant which went extinct. May"
schweinitzy's,1,1,,"check: unusual word, term or non-English",salon-102,"racking the history of Elodia Schwinitzy, or Schweinitzy's waterweed. A plant said to have gone extinct"
schweinitz,1,1,,"check: unusual word, term or non-English",salon-102,"d as a specimen collected by Louis David von Schweinitz in Bethlehem, Pennsylvania, in pools and str"
schwarzenegger,1,1,Schwarzenegger,likely misspelling / mishearing,salon-070, I did with them. Which featured our! Arnold Schwarzenegger. And he went on and on about the guy. So tha
schwartzfield,1,1,,"check: unusual word, term or non-English",interview-011,"ulas are very similar to the formulas of the Schwartzfield metric, which describes, you know, the black"
schrock,1,1,schlock,likely misspelling / mishearing,salon-031,is. We're also doing a bunch of memes. Betsy Schrock has been doing a lot of really interesting w
schooley's,1,1,school's | schoolers | scholar's,likely misspelling / mishearing,salon-042," a little longer. This is where in Christine Schooley's room. And. I'm here. Hi, everyone. Light on."
scholder,1,1,schooled | scolder,"check: unusual word, term or non-English",salon-046,"at Ambika P3 with my other work, with Akselo Scholder, and this is where the brainy eye was expose"
schoeller,1,1,scholar,"check: unusual word, term or non-English",salon-020,"phy and the nature of light. And then Martin Schoeller, who is a famous photographer, celebrity pho"
schnever,1,1,stinker | stinger | stinter,"check: unusual word, term or non-English",salon-042,"ue Beyer, Mark Petruvanos, Le Chat Noir, Lee Schnever, Prince Bernoullia, Vicente Rivera, Michael "
schneiberg's,1,1,,"check: unusual word, term or non-English",salon-073,"so, today we're going to experiment with Lee Schneiberg's suggestion that at the end of each presentat"
schneiberg,1,1,,"check: unusual word, term or non-English",salon-109,pike on perception that an artist named Nate Schneiberg is going to be moderating. So it's really co
schneiber,1,1,Schneider,likely misspelling / mishearing,salon-061," work with sort of, you know, the I know Lee Schneiber calls it like rogue, rogue pano, like kind o"
schneeberg,1,1,,"check: unusual word, term or non-English",salon-024,"ing that correctly, yes? It's close, Schnee. Schneeberg, okay, Schneeberg. And Malavika Andrew. Yeah"
schnee,1,1,steno,"check: unusual word, term or non-English",salon-024,"erg, saying that correctly, yes? It's close, Schnee. Schneeberg, okay, Schneeberg. And Malavika "
schnabel,1,1,scannable,"check: unusual word, term or non-English",salon-075,"Basquiat would fit into that group or Julian Schnabel. And then, and then Techspressionism, you kn"
schmidt-rotloff,1,1,,"check: unusual word, term or non-English",presentation-009,"ridge, was founded by Haeckel, Kirchner, and Schmidt-Rotloff and others, and they were very anti-academic"
schloss,1,1,Schloss | schools,likely misspelling / mishearing,interview-021,had some mutual friends a lady called arlene schloss who was pretty famous in the 70s and 80s as 
schiller,1,1,Schiller | chiller | scholar,likely misspelling / mishearing,presentation-007,"ural icons of German romanticism, Goethe and Schiller.  There I rediscovered the work of Caspar Fr"
schelling,1,1,Schelling | schilling | shelling,likely misspelling / mishearing,salon-018,"ic work.  There's a very famous poem, called Schelling and the... There's a great phrase based in t"
schaefer's,1,1,Schaefer's | Schaffer's | schemer's,likely misspelling / mishearing,salon-057,"and the shared universe, which led to Nathan Schaefer's creative capital series called Winter Moot a"
schae,1,1,such,"check: unusual word, term or non-English",interview-024,". And I said yes, of course. No problem. Non schae problema, as we say in Rome.  And so I went "
