type,recording,context
same word twice in a row,salon-041,k that's changing the weather Changes the weather Changes Changes Changes Changes The rain is still heavy But I thi
same word twice in a row,salon-041,g the weather Changes the weather Changes Changes Changes Changes The rain is still heavy But I think the clouds ar
same word twice in a row,salon-041,Okay Hi Hi I'm going to try to Screen share Which always mak
same word twice in a row,salon-041,nd Changing Events That are going on Although our weather Weather pattern here is Still a bit Holding up In The Wil
same word twice in a row,salon-041, affecting Me now In terms of Climate And war And pandemic pandemic and politics. So I reworked it with that feeling 
same word twice in a row,salon-042,mpton Village Thank you guys very much and have a great great too.  I'm going to jump on as I hit my next oblig
same word twice in a row,salon-042," Most of all, thank you. And I just want to say a little little thing. I can'tout. I can't. I can't. I can't. I c"
doubled punctuation,salon-042,". Digital monoprint on aluminum from Ukraine, 2021.."
same word twice in a row,salon-042,"ich is an NFT. He's based, I believe in France or originally originally from France, maybe in Spain right now. But he is "
doubled punctuation,salon-042,"Thanks, Colin. I'm moving along to,, so many great works. 10, 10, 23 X. The title is w"
doubled punctuation,salon-042,"eo. So this is a video, not a still image. I think,, I probably, I forgot to attach in a trial, but I "
doubled punctuation,salon-042,"an Museum of art. So if you look closely from your,, if you have a web version, you, you, you can, jus"
doubled punctuation,salon-042,"oman. She's a queen. She's, she's on the top.  And,, there was a, like a king on the top. So somehow I"
same word twice in a row,salon-042," the original 3D object, which gives it a kind of space space on a two dimensional picture plane."
doubled punctuation,salon-042,ic presentation of work. I'll save it by. See that..  .!
same word twice in a row,salon-042,Morning slash afternoon wherever wherever you might be all
same word twice in a row,salon-043,ut there. As something to talk about when we have discussion discussion time. I'm watching the clock. I want to thank all
same word twice in a row,salon-043,ow what happened that women in attack. He even he make make fun of me that in front of a lot of investor and 
same word twice in a row,salon-043,"r case project. And the very funny because, like, last last year it was a January he just say oh you know lik"
same word twice in a row,salon-043,this company we all broke we don't have a farming Baba Baba actually he built all the customer with his new e
same word twice in a row,salon-043,"irst commission so I create my energy, and I keep selling selling selling. And now I even coach other NFT marketpla"
a / an mismatch,salon-043,"equal opportunities, right. So, and it was a like a international women's month and I was I this, this"
same word twice in a row,salon-043,k on sac talk at the Southampton Arts Center with three three other colleagues and I'll be talking at length ab
doubled punctuation,salon-044,"been unsung sheroes, unsung sheroes in science and,, unsung sheroes in all walks of life. And I chose "
a / an mismatch,salon-044,"Paris, which is my segue into John Zieman, who is a early worker and experienced artist. And he's a ve"
a / an mismatch,salon-045,oad your own image. So the image will generate is a artificial intelligence. AI. I think the most impo
doubled punctuation,salon-045,"ot finished here, but I can share in the chart. So,, yeah, Colin, can you open this?  I put in the cha"
same word twice in a row,salon-045,me. And really how technology is the. The way we. Form form our understanding our conceptualization of. You k
a / an mismatch,salon-045,ttle bit of a discussion of Walter Benjamin. Such a interesting moment to just read and reconsider Val
same word twice in a row,salon-045,cause I know Michael wanted to. Maybe mention the seminar seminar that is going on tomorrow. And if you wanted to j
same word twice in a row,salon-045,"sky was saying no it's in the artist's use of the technology technology is where the there is there and so for me, I see "
same word twice in a row,salon-045,and that's it but tommy's software is amazing and last last last thing my girlfriend is really smart phd in c
same word twice in a row,salon-045,orative software development for creative uses is pretty pretty awesome it just takes that whole collab concept i
same word twice in a row,salon-045,"bably maybe talk about eat maybe as yeah and then also Also, there were the people in Zagreb, you know, the n"
same word twice in a row,salon-045,a real interesting one with the mccoys definitely casey casey reis today was like pretty incredible to see and 
same word twice in a row,salon-046, does anybody have before we start going into any raised raised hands does anybody have any questions or you know
same word twice in a row,salon-046,gn so because not only do we have artists we have scholars scholars studying you know the society of media but we als
doubled punctuation,salon-046,"Sure. Sure. Sure. Sure. Is that,, let's see here. Let's, let's open the, let's open"
same word twice in a row,salon-046,scious of looking at the set of works that we had through through an equity lens and the matter is that we did as w
same word twice in a row,salon-046,ow at astronomy scott kildall's piece exotopia is basically basically a VR guide to the known exoplanets and that sort 
same word twice in a row,salon-046,"and up or not? OK, well, how about you know what? Victor Victor is in the show. One moment. OK, great."
same word twice in a row,salon-046,s you know what you brought in it. You brought an entire entire family together over art and there was like Davin
same word twice in a row,salon-046,"m very happy to be with you and for my work being displayed displayed in 2022 Weird Media Exhibition. I am, can you pro"
same word twice in a row,salon-046,hen basically they're doing projections and sound throughout throughout the space. So we're dedicating entire room to thi
same word twice in a row,salon-046,", but really, the one thing that I really want to thank thank everybody for is that I want to thank everybody f"
same word twice in a row,salon-046, so much for your time and I as and as always I'm deeply deeply grateful to my wife and partner of all thing in a
same word twice in a row,salon-046,l thing in all things Nagin Etisabian for all her amazing amazing help in this project and everything everything el
same word twice in a row,salon-046, all her amazing amazing help in this project and everything everything else doesn't need to be said so thank you thank y
doubled punctuation,salon-047," because it's been, it's been a long time with the,, with the with the weird show we've been working r"
doubled punctuation,salon-047,", and what, what am I working on currently is that,, say for example, I, I don't have the, images up t"
doubled punctuation,salon-047,"actually I'll make this a little cleaner.  Is that,, I think that I've probably shown the fact that I'"
doubled punctuation,salon-047,"right at the moment, I've been messing around with,, mid journey, you know, because before, and, and C"
same word twice in a row,salon-047, get the weird show up I could see why wanting to let let out a little bit of creativity here that's a good
same word twice in a row,salon-047,greener universe and that's it that's that little series series. Kind of materiality or not materiality or someth
same word twice in a row,salon-047, happening.  Just gives it that quality cool yeah thanks thanks for asking you thanks
same word twice in a row,salon-047,periment to some degree you know like in terms of using using the plotter it definitely like some types of comp
same word twice in a row,salon-047,xtaposition of a very complex form with like more geometric geometric forms like the discs where it's sort of like you 
same word twice in a row,salon-047,cept the question itself in other words it's like why why is I mean we can maybe say that you know okay it 
same word twice in a row,salon-047,al question you know it's like why is it you know why why is it in a in a day and age you know that we have
same word twice in a row,salon-047, maybe let us do almost whatever we want you know why why do we why do we constrain ourselves to you know t
same word twice in a row,salon-047,nse of the physicality of my youth and growing up pre pre-digital world and everything I think there's a fo
same word twice in a row,salon-047,l up and I really thank tommy mince for getting a massive massive massive mind shift when working with his work bec
same word twice in a row,salon-047,Use a stylus I never use a styler just my finger finger
same word twice in a row,salon-047,s an amazing sensation of you know over and above touch touch is amazing and there's also this you know element
same word twice in a row,salon-047,we have sensory understanding of our bodies we're still still playing what are we doing right now when of the w
same word twice in a row,salon-047,s kind of fascinating too well I'm looking at the time time here and it looks like we're getting close close 
same word twice in a row,salon-047,he time time here and it looks like we're getting close close to finishing so does anybody have any final thing
same word twice in a row,salon-047,ing I have one piece left in terms of materiality here here is here is the exhibit catalog for the expression
same word twice in a row,salon-048,omes cinema and it becomes animated. So and then. Another another way that the work adapts to a different medium or
same word twice in a row,salon-048,.  So then I took this basic composition based on rectangles rectangles and came up with a slightly more elaborate versio
doubled punctuation,salon-048,..
same word twice in a row,salon-048,'s two variations of love.  Crazy and psycho. And throwing throwing like doing something sort of modernist. With the 
same word twice in a row,salon-048,re out there and I definitely find using that and almost almost like an iterative process of creating something f
a / an mismatch,salon-048,", for the 50th anniversary of art form, there was a article by Claire Bishop called the digital divide"
same word twice in a row,salon-048,situation and adapt to it as you know you're in a highly highly and I use this word kind of provocatively a highl
same word twice in a row,salon-048,r sharing today and we'll continue the discussion off off camera as it is and thanks everybody thank you fo
same word twice in a row,salon-049,ason people respond to that hashtag expressionism fire fire fire but like using that as a comment on other pe
same word twice in a row,salon-049, nodes which are these international subgroups to come come in and sort of talk about what they've been doing
same word twice in a row,salon-049,"l collective called emerging art Long Island with another another artist, this is a while ago, but, and I was out i"
same word twice in a row,salon-049,"u know we're during this show across Long Island, blah blah blah. And she's like all, you know, oh like, I ha"
same word twice in a row,salon-049,"e, where most of the shows in that space had been topic topic base, but drawing off of a regional base of artis"
same word twice in a row,salon-049," been. I would have never gotten as far as I have without without collective power, really, to tell you the truth i"
same word twice in a row,salon-049,"now, collective in my opinion has been much more. Powerful powerful than the individual but however the collective ca"
same word twice in a row,salon-049,"nything that uses the word should be on the press list list as far as I'm concerned, because what, you know, "
a / an mismatch,salon-049,"nt. And I feel like one area, and this is sort of an that happens to be here or viewing this in recordi"
same word twice in a row,salon-049,"ge across, then that's going to be more effective than than than bouncing them out, you know, because really,"
same word twice in a row,salon-049,ed to address. And the gentleman I'm working with found found a product which was a music to a digital music tu
same word twice in a row,salon-049,o say I was actually in a crib yesterday with the Jewish Jewish art salon and in fact Dina Eber was one of the pr
same word twice in a row,salon-049,Okay different ways of fabrication fabrication
same word twice in a row,salon-049,close with Susan just because we're just over the hour hour and a half mark
same word twice in a row,salon-050,about choice of materials process whatever what's relevant relevant what the person presents is what I had what I had
same word twice in a row,salon-050,rth vr and seeing each other's countries you know through through through vr and the thing is down in the lower rig
same word twice in a row,salon-050,ag areas on the american piece which is up on the upper upper upper left now like that the flag it's now all in
a / an mismatch,salon-050,leap after being on my knees after 9-11 came into a influenced by iconography and major layering and s
same word twice in a row,salon-050, that sounds good. So next is Reese. Are you here Reese Reese just stepped away for a minute. We'll come back t
a / an mismatch,salon-050,"utput, I consider the whether or not I'm going to a artwork is going to hang on the wall or whether or"
a / an mismatch,salon-050,minated with a glass. It's a polyvinyl butyrol or a urethane layer of adhesive on each side of a Fuji 
same word twice in a row,salon-050,rs are all animated and moving. So it's kind of a hybrid hybrid work. And then I'm working on another virtual rea
same word twice in a row,salon-050,graphed assets from all these different areas and coming coming together in the VR world.
same word twice in a row,salon-050,"e, what was then a very new department at Harvard called called Visual and Environmental Studies from 1980.  And "
a / an mismatch,salon-050,aid1.com and what you get is this material that's a emulsion that you brush onto anything and you prin
same word twice in a row,salon-050,me out of today. Was this interplay of commercial materials materials that are developed for commercial purposes and th
doubled punctuation,salon-051,So I'll start sharing my screen. Let's see.. Can you all see my screen?
same word twice in a row,salon-051," just, not just mid journey. I've been working in generative generative and algorithmic art and that sort of thing since "
same word twice in a row,salon-051,at I can work with different you know there was a core core practice that still stayed there and I think that
same word twice in a row,salon-051,That's an interesting interesting element but no oh but cynthia I saw your post on 
same word twice in a row,salon-052," Cynthia D Donato, M.D.: The first is the Italian painter painter jato who infused space into our and redefine the "
same word twice in a row,salon-052,will be released this fall 2022 with a forward by Neil Neil deGrasse Tyson. He posts daily on Instagram at st
same word twice in a row,salon-052,what Steve was talking about with the experiments happening happening at CERN and being able to understand what the Hig
same word twice in a row,salon-052,ries. You're dealing with all kinds of ideas that take Take time. And that you have to build upon in order to
same word twice in a row,salon-052,"ularly enjoyed hearing Michael talk about getting people people's become aware of physics, even as lay people, be"
same word twice in a row,salon-053, years ago. It was camera was developed by Joseph Nyssephour Nyssephour.  I hope I'm pronouncing that correctly. And he's
a / an mismatch,salon-053,"otography now that it's digital, now that there's a added to it? And Earth Fisher, his work is about s"
a / an mismatch,salon-053, all the participants and you as an organizers as a expression thank you
same word twice in a row,salon-053,he wall they're starting to market this year it's easy easy to look up and that's probably an example of it t
same word twice in a row,salon-053, they had the very dark black person and the very white white person. And they skewed everything in favor of th
same word twice in a row,salon-053,". And they skewed everything in favor of the very white white person. You know, that persisted until 1990. And "
same word twice in a row,salon-054,g the way I wanted to let me see another hands up anybody anybody at all or I could start picking people up because
same word twice in a row,salon-054,"Yes, I'm going to keep keep on playing. See what happens."
same word twice in a row,salon-054,"e are others there. But here where, you know, the human human element is so high. You're there together experie"
same word twice in a row,salon-054, experiencing it at the same time is beautiful so both both those mediums as far as being immersive they real
same word twice in a row,salon-054,Each each one of those organizations that you've contracted
same word twice in a row,salon-055,y maintaining some sense of integrity in the work without without going to you know some are better than others but
same word twice in a row,salon-055,e helix the ketamine structure of the molecule as artwork artwork I tried coming up with different ideas like oh wh
same word twice in a row,salon-055,ng that was all just like grandiose or going into La La Land of psychedelics this is an important factor 
same word twice in a row,salon-055,ne of those things like the Internet as a tool in itself itself. A lot of potential for good. Some people will us
same word twice in a row,salon-055,Hi hey hey hi so I'm just gonna I had some thoughts to share
same word twice in a row,salon-055,tarted talking about nfts and he created a course through through his through the online platform so I did the cour
a / an mismatch,salon-055,"ng because I mean, let's see here. I think I take a almost like an inverse bell curve on this sort of,"
a / an mismatch,salon-055,he assembly and I just play with it. They do have a original song that is a rock and they have a new m
same word twice in a row,salon-055,say no fud no fear uncertainty and doubt it's the exact exact opposite is you should lean into that and try to 
a / an mismatch,salon-055,and taking using the ability for art to help fund a impact medicine fund to take unmonopolizable thera
same word twice in a row,salon-056,"ance, from the Mediterranean area. My mom and dad divorced divorced when I was about two years old. So back then, it "
same word twice in a row,salon-056,"% clear glasses that's not tinted there's a light tinting tinting component. But this will be lit, and you'd be abl"
same word twice in a row,salon-056,e sort of convene that way. You know I definitely wanted wanted you to be able to present this idea to everyone. 
a / an mismatch,salon-056,ople interested in shipping in. And creating like a expressionism wall somewhere in this space. So tha
same word twice in a row,salon-057, something hidden and it's that hidden thing that both both attracts me and repels me at the same time. It's 
same word twice in a row,salon-057,Magritte used fairly frequently to depict average man man in the gray suit. And you also see the feet of an
same word twice in a row,salon-057,ed. So I'm gonna share my screen.  Here we go. ¶¶ Sistah Sistah Melo Thank you. Thank you. It's incredible. The m
same word twice in a row,salon-057,"I created during the pandemic, like in 2020, that revolved revolved around. My biking and wearing a mask. And so I we"
same word twice in a row,salon-057," like constantly looking around the vehicles like actually actually fearing for my life. And, yeah, that shook me. I "
same word twice in a row,salon-057,"the absurd, and I have a very rich dream life and sometimes sometimes numeric, but I always try to filter it through ki"
same word twice in a row,salon-057, billows of clouds and smoke and ashes and people running running and screaming and hollering and knowing that deat
same word twice in a row,salon-057," turned on the news and there was the world chaos dream dream looking right at me, you know, as people terrifie"
same word twice in a row,salon-058,ause I don't know how many people know about text expression expression we're working on that well maybe I can help yeah 
space before punctuation,salon-058,window that you are showing that presentation in.  . You probably have to stop the screen share and th
sentence starts with a lowercase letter,salon-058,aybe new share I can show. Are you seeing? Yep... ity..!. Principal. … Means open google or sorry you
same word twice in a row,salon-058,Thank you. Thanks for being here. All right. Next up up Colin. Did you want to wait till like the end to 
a / an mismatch,salon-058, few more digital projects.  Linguistics River is a online art project. This is user can enter their n
doubled punctuation,salon-058,e new share I can show. Are you seeing? Yep... ity..!. Principal. … Means open google or sorry youtube
same word twice in a row,salon-058, gone back to exploring the Kinect device. It's a camera camera device this is a Kinect. It's a has a RGB camera 
same word twice in a row,salon-058,"to be doing a piece. More exploring a dream state dream dream dream like quality, using, using this device, and"
same word twice in a row,salon-058, an emulator so I figured out that if you went to every every link and explored it you not that anybody would b
a / an mismatch,salon-058,ot of programs that you can that you can generate a online installation with those oh yeah I have all 
same word twice in a row,salon-059," the text translation engine.  And, you know, the latent latent space, you know, I mean the, I mean of the, of th"
same word twice in a row,salon-059, points except for the fact that I don't think he knows knows knows enough about Hagel. Oh god. I don't think a
same word twice in a row,salon-059,"t if you're kind of, you know, throwing all of us into into one big pot here. That has nothing to do with it."
same word twice in a row,salon-059, beautiful images. And Patrick and I both started Ann Ann and a bunch of people started with Playform back 
same word twice in a row,salon-059, we have dealt with this in the past. Photography radically radically changed painting and so did physics. If we think 
same word twice in a row,salon-059," that even from some of the things that Gavin was saying saying earlier, part of what's going on here seems very "
same word twice in a row,salon-059,hotography right you know painters you know right painting painting the nature of painting shifted because of photogr
same word twice in a row,salon-059,one made the claim it's like it's almost like the wild wild west the nft space was very much like the wild wi
same word twice in a row,salon-059,ld wild west the nft space was very much like the wild wild west so we have a lot of new things that ethics a
same word twice in a row,salon-059,d like I want to say that it's also the case like even even if you do sign a tos in terms of service and peop
same word twice in a row,salon-059,t is better timing to just show it's a little bit long long too I just wanted to add more comment from Jennif
same word twice in a row,salon-060,"hey delete it. But in this case, I have just very few few lights. But this is the kind of work that I norma"
same word twice in a row,salon-060,w few lights. But this is the kind of work that I normally normally produce. And these are pretty much.  Available to
same word twice in a row,salon-060, This they don't like it. This is related to the. Immigration immigration thing. Who is this? I work in a federal building.
same word twice in a row,salon-060,fety features and I don't remember the details of vr vr chat and I didn't even know that there was a I di
same word twice in a row,salon-060,n place for that and for myself as far as sort of getting getting used to it I mean it was a bit of a journey I mea
same word twice in a row,salon-060,s not vr chat and I ended up kind of I don't know selecting selecting this avatar that was totally like a spacey woman 
same word twice in a row,salon-060,ow and then suddenly you're in vr and everybody's dressed dressed weird or that first time I was dressed weird and 
same word twice in a row,salon-060,at's part of the thing yeah I that there's always getting getting used to the navigation it does take a bit of prac
same word twice in a row,salon-060,k or I've used the carousel in instagram when you post post several things and ask people to select one piece
same word twice in a row,salon-060," get people to follow that hashtag of you, that's another another thing that you can do. Stories and reels are impo"
a / an mismatch,salon-060,"inute. John. Nice to see you. Yeah.  But that was an shout out. You know, you do shows and you think th"
same word twice in a row,salon-061,lly it is if it is two-sided I am using a acrylic glass glass box so that they can see both the side but becaus
same word twice in a row,salon-061, work and then drill holes in it and hope that so each each stripe has three holes drilled in it one for the 
a / an mismatch,salon-061,you generally it is if it is two-sided I am using a acrylic glass glass box so that they can see both 
same word twice in a row,salon-062, screen. There you go. Do I do optimize video for video video clip as well no I would skip that one okay all ri
same word twice in a row,salon-062," not going to do this. You know, unity, you know, being being with a larger group.  And I like that, too. I lik"
same word twice in a row,salon-062,"court. My own feeling is a photograph to a wooden sculpture sculpture is transformation of that image. You know, yes, i"
a / an mismatch,salon-062,"ntifier. So when you see that those digits inside a artwork, then you can easily trace it back to the "
a / an mismatch,salon-063,e this sort of element here. This was an image of a image that I created in Photoshop. I'm not sure wh
doubled punctuation,salon-063,"go to share. And I'll keep my fingers crossed here..  ..!!!!.. Wilted the breaks and ruptures, product"
doubled punctuation,salon-063,"o share. And I'll keep my fingers crossed here..  ..!!!!.. Wilted the breaks and ruptures, products of"
doubled punctuation,salon-063,"e. And I'll keep my fingers crossed here..  ..!!!!.. Wilted the breaks and ruptures, products of momen"
same word twice in a row,salon-063,ways felt in my work that I like the feeling of a piece piece being contained.  So I'll go to another one. This
same word twice in a row,salon-065,d the floral headdresses and the folk dancing and singing singing mostly and so I'm remembering that when I think a
same word twice in a row,salon-065,government's emergency response plans. Despicable acts Acts of terror. Acts of terror.  Spoken to the ages in
same word twice in a row,salon-065,"translation work for you? Of taking the photo and working working over them? Well, I think for me, it's somewhat ca"
same word twice in a row,salon-065,"nting at the absurdity of the one drop rule about being being black in this country, and how that whole notion "
same word twice in a row,salon-065,ncerned yeah that's like actually you should have two two race groups to belong to instead of you thinking 
a / an mismatch,salon-065, because of my appearance. It's interesting being a exceptionally fair skinned Black person in this co
a / an mismatch,salon-065, this was just a little joke the swirl is kind of a euphemism for what happens when what you call blac
doubled punctuation,salon-065," called the blue. This was, actually excerpts from,, Joe Biden's inaugural speech.  And then to contra"
same word twice in a row,salon-066, person that I've been thinking about because the blah blah blah anyway but I see michael kind of nodding his
same word twice in a row,salon-067," so do you do you feel like you'd like to kind of kick kick the discussion off or not. Colin Goldberg, M.D.: "
same word twice in a row,salon-067,"hini, I don't want to put up just a straight text image image, so I feel like that's some. Renata Karraschini, "
same word twice in a row,salon-067,"t Lee was citing. Colin Goldberg, M.D.: You know, put put a percentage out there, so I think the thing is r"
doubled punctuation,salon-067,We're in a quagmire because.. We live in. A society that. Is so monetarily base
sentence starts with a lowercase letter,salon-067,"I can stop share here. So, as butterfly dreams... ity.  Thank you for sharing that. Hey, you were say"
same word twice in a row,salon-067,rerun it and change your prompt a little bit yeah tell tell the machine to say no you didn't get this right I
a / an mismatch,salon-067,"were to develop a theme and explore it and create a online gallery from it, you know, based on the ima"
same word twice in a row,salon-067,ike that by feeding it the whole library of every single single Star Wars film ever created. And then it can make
same word twice in a row,salon-067,ou know on lips and boobs and tiny waist and legs stop stop no one gets old on the internet right like oh my 
same word twice in a row,salon-067,ld on the internet right like oh my god it's like another another one but yeah I mean I'm part of the culture so it
same word twice in a row,salon-067,"cept of fertility spills out in your in your work also Also, the concept of what?  Of fertility, actually. An"
doubled punctuation,salon-067,"g something recently about, you know, AI generated,, spaces like in the metaverse, you know, where it "
doubled punctuation,salon-067,"remember where, but they were using AI to generate,, 3d printed buildings.  So it's, it's already star"
same word twice in a row,salon-067,rensic. Split of all the different paintings that night night cafe mixed together. And I don't even remember be
same word twice in a row,salon-068,here's some things that I've added like if you do dash dash ar it's aspect ratio so you could say like dash d
same word twice in a row,salon-068,h dash ar it's aspect ratio so you could say like dash dash ar 16 colon 9 and a lot that'll give you like a 1
same word twice in a row,salon-068,t and then I tried to take some of the highlights apart apart although I did post the link to it in both Instag
same word twice in a row,salon-068,"w last night on Facebook and a little story of an Indian Indian comedian. And I was like, oh, I'm going to be abl"
same word twice in a row,salon-068,it to Vince you on this even though he wasn't the original original but it's good enough. And is that discussion on t
same word twice in a row,salon-068," know, ever achieving any of that because this is actually actually corporations who are hellbent on doing this and y"
same word twice in a row,salon-068,from Islam much of what we take today as like the concept concept of zero came from elsewhere.  And in the Middle A
same word twice in a row,salon-068,ou know that might be something cool and I'm sure patrick Patrick has a bunch of stuff.  I have a couple things fro
same word twice in a row,salon-069, you can pull out of it yeah what's monochromatic nice nice merging of science and art I love it yeah and the
space before punctuation,salon-069,to try to do full screen. I'll see if this works.  . Discover Houston recommend vector transfer. Compu
same word twice in a row,salon-069,"hing up some stuff for Isaiah. And my Nagin sends her her best. So network conditions and time, of course, "
same word twice in a row,salon-069,c you know to me I thought it was much more muted than than this so that's kind of the thing I'm not going to
doubled punctuation,salon-069,"id, mid, mid-century vernacular and, you know, and,, and kind of like New Yorker style, illustration a"
doubled punctuation,salon-069,"unway ML to start doing some video work soon.  And,, because I'm almost feel like I'm kind of, kind of"
doubled punctuation,salon-069,"ike another friend of mine, Joseph DeLapp, who has,, red, orange,, color blindness, you know, he's, yo"
doubled punctuation,salon-069,"iend of mine, Joseph DeLapp, who has,, red, orange,, color blindness, you know, he's, you know, he wea"
doubled punctuation,salon-069,"rious fakery going on. But as you know, I did with,, Claudia Hart and, Rachel Clark, a few years ago. "
same word twice in a row,salon-070," how we even know things.  And that's a kind of a philosophical philosophical thing but I was like well, a lot of our work migh"
same word twice in a row,salon-070,"ow that for my personal experiences, working with tech tech technologies in the arts. Often.  There's a learn"
same word twice in a row,salon-070," a 49 minute film. It's kind of long, but it goes through through okay those 90 days I may have skipped a few but a"
a / an mismatch,salon-070,and I really liked that film that film I had made a earlier vision a version of and I again tried to d
doubled punctuation,salon-070,"idn't mean to do that. Okay.  So I decided I would,, I have a, I have a playlist called art in, in a p"
doubled punctuation,salon-070," I wanted to share were that lately. I, again, was,, motivated here. I'm going to, I'm going to do thi"
doubled punctuation,salon-070,", I'm going to do this one.  This isn't filmed. Mm.. So I want to take me to So that film, I'm happy t"
same word twice in a row,salon-070, I'd like to have that versatility and I need the pixel pixel power there to do it so it might be 7200 pixels s
same word twice in a row,salon-071,esent maybe such themes through the art so Renata suggested suggested that I approach the group as a social sculpture. 
same word twice in a row,salon-071,pired by things like this surrealist manifesto by Breton Breton I guess not sure exactly the best way to pronounc
same word twice in a row,salon-071,hich is something that was invented by the artist German German artist Joseph boys is also one of the founders of
doubled punctuation,salon-072,"ngoing a series of work on calling, raging, raging,, maps and climate change.  And there is, I did sho"
same word twice in a row,salon-073, images speak to me. This was also an alleyway. I loved loved the windows on this building how they reflected o
same word twice in a row,salon-073,". That's kind of the balance I'm going for is off balance balance. Thank you. As always, Karen, your work is stunni"
same word twice in a row,salon-073, initial stages of the pandemic when this kind of took took root two years ago or so now and where we might w
same word twice in a row,salon-073,"artist, and Vera Molnar, who's the trailblazer of generative generative art, and she's certainly a computer art pioneer. "
same word twice in a row,salon-073, so that is my final comment we're at 125 michael yep yep do we want to end the recording and begin the aft
a / an mismatch,salon-073,"is point. I mean, we're going to send out sort of a announcement, a more formal announcement, hopefull"
same word twice in a row,salon-074,led essential. This is. Coding animation. This is life life and brain rendering piece. That is really inspire
a / an mismatch,salon-074," the Techspressionist group, we're planning to do a initiative on X regarding life on Mars. Is there a"
same word twice in a row,salon-075,e similarities. But stylistically. I've made some major major changes here. And for me. Once again. This is a w
same word twice in a row,salon-075,ison of the Polycast recently. And Patrick Lichty sort sort of came up with this idea of Techspressionism bei
same word twice in a row,salon-075,omes a bit more solid but yet I like that sort of dry dry brush look where you can see see through the trun
same word twice in a row,salon-075,ike that sort of dry dry brush look where you can see see through the trunk and the branches so it's sort o
same word twice in a row,salon-075,so more internal like as in blood but so you know ambiguous ambiguous in different ways and not so completely represent
same word twice in a row,salon-075,thank you it's on YouTube yeah okay Tommy are you ready ready to share your news today oops you there Tommy you
same word twice in a row,salon-075,move the conversation forward and tommy is really great great to see him on the subway you know it's a real a r
same word twice in a row,salon-076,it seems to have come down from this and I didn't encompasses encompasses glitch art. I don't know. There was also had been
same word twice in a row,salon-076,ally 82.  82 okay yeah I was working on C64 games while while at Coleco so yeah nice nice what games were you w
same word twice in a row,salon-076,orking on C64 games while while at Coleco so yeah nice nice what games were you working on at that time oh go
same word twice in a row,salon-076,depending on the titles so yeah it's been a while awesome awesome well it's cool to have you know an actual develop
same word twice in a row,salon-076, group it's a lot of history behind that yeah now thanks thanks Colin for showing that the next thing that we wer
same word twice in a row,salon-076,ng that the next thing that we were talking about before before the salon started was we were mentioning the data
same word twice in a row,salon-076,ddit subreddit so that might be the way to direct people people are interested in playing with these softwares or
a / an mismatch,salon-076, What I call Tommy software.  But I know it's the a automated that did you use the digital class? Yeah
same word twice in a row,salon-076,c time frames for updates but I don't want to get too too deep on that and you know tommy you want to addre
same word twice in a row,salon-076,"s be to another hub space and so is the hub space part part of your space, this town square space, or is it p"
same word twice in a row,salon-076,ean that's the point is that the two people would talk talk to each other and they would share and in some wa
same word twice in a row,salon-076,d tell me it's really cool the idea of like every two two months or every six weeks or every three whenever
a / an mismatch,salon-076,aunches are you still going with december 1st for a opening or is that fairly fluid at this point I th
a / an mismatch,salon-076,ll-time job maintaining things and it's by having a either monthly or every couple months day where we
same word twice in a row,salon-077," idea is you could change the image every day. So each each one has been still screened, so you can imagine i"
a / an mismatch,salon-077,usly we learn from Duchamp with a bottle rack and a urinal and a snow shovel that you know sculpture c
a / an mismatch,salon-077,"o do a solo show at the Everson Museum, which was a opportunity for me to upscale everything, because "
same word twice in a row,salon-077,"Well, thank thank you for asking. And this technology is used in sc"
same word twice in a row,salon-077,"I think the title Synthetic Synthetic Ecology is also fascinating the idea, and Steve r"
same word twice in a row,salon-077,"Wow, Suzanne, brilliant, totally totally awesome presentation. I'm fascinated with the way"
same word twice in a row,salon-077,ayons down and use the liquid colored wax. That's great great. I think we have another question here with veran
same word twice in a row,salon-077,fferent perspectives are. So it's showing us on a micro micro level what we should know.  The ticks and other a
a / an mismatch,salon-077,thralled. So I just want to say that Siberiana is a example of the Techspressionism community in cyber
same word twice in a row,salon-077," kind of clicks on so again that's formatted in a portrait portrait orientation. Now. In regards to your question, Sa"
same word twice in a row,salon-077,or somebody to go to your space and then get back into into the town square.  Does that make that make sense.
same word twice in a row,salon-077,"g is going to the menu on the right, where it has image image image image. And then there's a video option. And"
same word twice in a row,salon-077,"o the menu on the right, where it has image image image image. And then there's a video option. And I'm choosin"
a / an mismatch,salon-077,"pointing out some of the challenges of working in a interface. So do we? Th, this is. This is a this i"
same word twice in a row,salon-077,"all, and I'll show you.  You see how it's. Yes, I see see back right. I'm gonna try to get close in here to"
same word twice in a row,salon-077,"ow your gallery?  And that's where these numbers. Especially especially if you know you like, where your walls are. You n"
a / an mismatch,salon-077,"ample again, so I'll walk through in Hu, you know a after I save the at the end of the save process. I"
same word twice in a row,salon-077," incorporated into the art. It can be part of the narrative narrative of the art, or something. No, like Karen did some"
same word twice in a row,salon-078,"hank you for the Intro Michael, because this is a huge huge topic. They can go in a million different directi"
a / an mismatch,salon-078,"ly. Okay, so I'm gonna start my presentation with a opening paragraphs to my thesis just to sort of se"
same word twice in a row,salon-078,"age flip here and there, but the overall story is being being driven by sequence, and the illustrated book has "
same word twice in a row,salon-078, And you can see here that II was basically doing research research within the artwork and the installations themselv
